"st1","st2","st3","t_fin1","t_fin2","t_fin3","condition"
0,0,0,9,13,11,"standard"
0,0,0,6,93,98,"standard"
0,0,0,4,4,4,"standard"
0,0,0,27,27,14,"standard"
0,0,0,15,7,9,"standard"
0,0,0,100,2,101,"standard"
105,186,0,1000,1000,5,"standard"
0,0,0,274,302,266,"standard"
0,0,0,712,235,727,"standard"
0,0,0,101,93,94,"standard"
0,0,0,9,5,11,"standard"
0,0,0,45,56,11,"standard"
0,0,0,691,684,458,"standard"
0,0,0,18,25,19,"standard"
0,0,0,7,11,86,"standard"
0,0,0,2,15,10,"standard"
0,125,146,22,1000,1000,"standard"
72,444,0,1000,1000,259,"standard"
0,0,0,382,382,4,"standard"
0,0,0,14,47,33,"standard"
0,0,0,3,2,18,"standard"
0,0,0,15,6,8,"standard"
0,0,0,452,200,89,"standard"
131,273,0,1000,1000,44,"standard"
0,0,0,2,20,24,"standard"
0,0,0,21,21,4,"standard"
0,0,0,45,54,20,"standard"
0,0,0,48,9,42,"standard"
0,0,0,13,7,5,"standard"
0,0,0,28,26,11,"standard"
0,0,0,17,11,10,"standard"
0,0,0,2,50,2,"standard"
0,0,0,4,67,4,"standard"
0,0,0,79,5,82,"standard"
0,0,0,34,5,9,"standard"
0,0,0,3,6,4,"standard"
0,0,0,13,6,2,"standard"
0,0,0,362,265,348,"standard"
0,0,0,6,2,2,"standard"
0,0,0,43,44,15,"standard"
114,400,0,1000,1000,4,"standard"
0,0,0,180,5,6,"standard"
464,67,68,1000,1000,1000,"standard"
0,0,0,2,14,16,"standard"
0,0,0,394,3,3,"standard"
0,0,0,109,573,647,"standard"
0,0,0,146,18,166,"standard"
0,0,0,10,6,14,"standard"
0,0,0,27,9,27,"standard"
0,0,0,14,277,278,"standard"
266,117,318,1000,1000,1000,"standard"
0,0,0,445,40,40,"standard"
0,0,0,8,25,24,"standard"
0,0,0,149,158,151,"standard"
0,0,0,83,630,88,"standard"
0,0,0,40,68,19,"standard"
0,0,0,794,793,181,"standard"
0,0,0,2,20,25,"standard"
0,0,0,48,93,94,"standard"
0,0,0,120,119,117,"standard"
0,0,0,93,125,126,"standard"
0,102,284,15,1000,1000,"standard"
83,319,0,1000,1000,174,"standard"
0,0,0,152,155,3,"standard"
0,0,0,3,3,9,"standard"
0,0,0,2,89,19,"standard"
0,0,0,399,393,413,"standard"
0,0,0,188,195,16,"standard"
0,0,0,49,49,10,"standard"
0,0,0,5,5,11,"standard"
0,0,0,37,33,39,"standard"
0,0,0,13,2,16,"standard"
0,0,0,142,17,44,"standard"
0,0,0,54,54,5,"standard"
0,0,0,209,90,197,"standard"
0,0,0,27,15,795,"standard"
0,0,0,12,110,101,"standard"
0,0,0,3,2,2,"standard"
0,0,0,47,46,55,"standard"
0,0,0,8,6,18,"standard"
0,0,0,113,113,100,"standard"
0,0,0,330,7,333,"standard"
0,0,0,5,10,16,"standard"
120,73,0,1000,1000,3,"standard"
0,0,0,2,187,160,"standard"
0,0,0,13,4,10,"standard"
0,0,0,30,12,42,"standard"
0,0,0,37,23,21,"standard"
0,0,0,120,26,234,"standard"
0,0,0,34,2,34,"standard"
0,0,0,28,23,213,"standard"
0,0,0,5,27,5,"standard"
0,0,0,51,333,57,"standard"
0,0,0,137,130,64,"standard"
0,0,0,5,5,58,"standard"
0,0,0,66,6,76,"standard"
0,0,0,3,507,2,"standard"
0,0,0,10,29,42,"standard"
0,0,0,85,67,3,"standard"
0,0,0,639,95,643,"standard"
0,0,0,3,3,138,"standard"
0,0,0,15,8,10,"standard"
0,0,0,105,2,4,"standard"
0,0,0,25,7,286,"standard"
0,0,0,323,322,11,"standard"
0,0,0,4,25,21,"standard"
0,0,0,43,5,42,"standard"
0,0,0,884,892,92,"standard"
0,0,0,295,297,14,"standard"
0,0,0,36,114,86,"standard"
0,0,0,387,115,379,"standard"
0,0,0,33,11,35,"standard"
0,0,0,699,291,693,"standard"
0,0,0,137,27,137,"standard"
0,0,0,17,60,60,"standard"
0,0,0,534,517,252,"standard"
0,0,0,25,2,22,"standard"
0,0,0,77,333,214,"standard"
0,0,0,16,23,9,"standard"
0,0,0,6,7,21,"standard"
0,0,0,8,17,9,"standard"
0,0,0,13,5,23,"standard"
0,0,0,15,17,17,"standard"
0,0,0,9,29,7,"standard"
0,0,0,10,13,17,"standard"
0,0,0,23,79,75,"standard"
0,0,0,5,42,6,"standard"
0,0,0,6,16,24,"standard"
0,0,0,5,9,6,"standard"
0,0,0,3,3,4,"standard"
0,0,0,28,17,22,"standard"
0,0,0,718,3,25,"standard"
0,0,0,44,49,3,"standard"
0,0,0,160,10,163,"standard"
0,0,0,94,10,106,"standard"
0,0,0,88,73,83,"standard"
0,0,0,547,552,552,"standard"
0,0,0,8,20,4,"standard"
0,0,0,8,569,6,"standard"
0,0,0,38,16,17,"standard"
0,0,0,167,225,240,"standard"
0,0,0,60,565,563,"standard"
0,0,0,16,52,11,"standard"
199,166,0,1000,1000,10,"standard"
