"st1","st2","t_fin1","t_fin2","condition"
0,0,219,3,"standard"
0,0,140,2,"standard"
0,0,8,19,"standard"
0,0,3,5,"standard"
0,0,549,546,"standard"
0,0,29,28,"standard"
0,0,6,12,"standard"
0,0,38,36,"standard"
0,0,60,61,"standard"
0,0,22,9,"standard"
0,0,19,19,"standard"
0,0,2,4,"standard"
0,0,18,18,"standard"
0,0,269,268,"standard"
0,0,11,2,"standard"
0,0,9,73,"standard"
0,0,72,78,"standard"
0,0,2,21,"standard"
0,0,48,2,"standard"
0,0,239,230,"standard"
0,0,638,630,"standard"
0,0,6,14,"standard"
0,0,4,5,"standard"
0,0,81,81,"standard"
0,0,69,146,"standard"
0,0,16,10,"standard"
0,0,23,24,"standard"
0,0,16,16,"standard"
0,0,130,120,"standard"
132,196,1000,1000,"standard"
0,0,316,6,"standard"
0,0,383,387,"standard"
0,0,10,8,"standard"
0,0,4,2,"standard"
0,0,57,2,"standard"
0,0,17,121,"standard"
0,0,52,52,"standard"
0,0,134,2,"standard"
0,0,2,555,"standard"
0,0,33,33,"standard"
0,0,13,10,"standard"
0,0,308,313,"standard"
0,0,7,3,"standard"
0,0,50,16,"standard"
0,0,8,8,"standard"
0,0,33,21,"standard"
0,0,5,2,"standard"
0,0,282,273,"standard"
176,197,1000,1000,"standard"
0,0,14,3,"standard"
0,0,22,10,"standard"
0,0,36,48,"standard"
0,0,2,2,"standard"
337,125,1000,1000,"standard"
0,0,4,2,"standard"
0,0,17,96,"standard"
0,0,4,3,"standard"
0,0,3,127,"standard"
0,0,95,89,"standard"
0,0,10,20,"standard"
0,0,3,5,"standard"
0,0,2,2,"standard"
0,0,2,8,"standard"
0,0,41,22,"standard"
0,0,44,42,"standard"
0,0,2,13,"standard"
0,0,88,87,"standard"
0,0,15,15,"standard"
0,0,60,45,"standard"
0,0,12,12,"standard"
0,0,587,584,"standard"
0,0,2,9,"standard"
0,0,24,5,"standard"
0,0,3,5,"standard"
0,0,74,74,"standard"
0,0,34,31,"standard"
0,0,17,35,"standard"
0,0,5,15,"standard"
0,0,2,54,"standard"
0,0,32,18,"standard"
0,0,2,7,"standard"
0,0,7,9,"standard"
0,0,573,567,"standard"
0,0,17,18,"standard"
0,0,4,4,"standard"
0,0,5,192,"standard"
0,0,16,26,"standard"
0,0,2,719,"standard"
0,0,13,16,"standard"
0,0,857,5,"standard"
139,175,1000,1000,"standard"
0,0,122,97,"standard"
0,0,37,37,"standard"
0,0,16,21,"standard"
0,96,710,1000,"standard"
0,0,13,39,"standard"
0,0,15,7,"standard"
0,0,17,538,"standard"
0,0,27,30,"standard"
0,0,120,108,"standard"
0,0,161,437,"standard"
0,0,6,14,"standard"
0,0,503,530,"standard"
0,0,11,10,"standard"
0,0,105,102,"standard"
0,0,9,6,"standard"
0,0,4,5,"standard"
0,0,42,8,"standard"
0,0,7,2,"standard"
0,0,4,13,"standard"
0,0,107,112,"standard"
0,0,2,12,"standard"
0,0,310,310,"standard"
0,0,177,227,"standard"
158,65,1000,1000,"standard"
0,0,735,738,"standard"
0,0,9,21,"standard"
0,0,2,2,"standard"
0,0,28,319,"standard"
0,0,506,255,"standard"
0,0,5,5,"standard"
0,0,23,22,"standard"
0,0,15,9,"standard"
504,396,1000,1000,"standard"
0,0,18,28,"standard"
0,0,127,125,"standard"
0,0,12,11,"standard"
0,0,23,3,"standard"
0,0,381,384,"standard"
0,0,24,5,"standard"
0,0,10,11,"standard"
0,0,11,5,"standard"
0,0,14,14,"standard"
103,473,1000,1000,"standard"
86,232,1000,1000,"standard"
0,0,371,379,"standard"
0,0,3,63,"standard"
0,0,55,59,"standard"
0,0,57,42,"standard"
0,0,2,3,"standard"
0,0,46,5,"standard"
0,0,188,192,"standard"
0,0,2,3,"standard"
0,0,2,36,"standard"
0,0,3,2,"standard"
0,0,29,123,"standard"
0,0,68,82,"standard"
0,0,73,145,"standard"
0,0,655,179,"standard"
0,0,20,46,"standard"
0,0,804,879,"standard"
0,0,651,653,"standard"
0,0,890,891,"standard"
0,0,14,3,"standard"
0,0,6,50,"standard"
0,0,262,147,"standard"
0,0,128,120,"standard"
0,0,6,8,"standard"
0,0,12,16,"standard"
0,0,43,42,"standard"
0,0,3,31,"standard"
0,0,24,26,"standard"
0,0,150,143,"standard"
0,0,45,45,"standard"
0,0,5,2,"standard"
0,0,5,9,"standard"
0,0,47,45,"standard"
0,0,2,12,"standard"
0,0,6,67,"standard"
0,0,636,636,"standard"
0,0,50,82,"standard"
0,0,39,49,"standard"
0,0,845,838,"standard"
0,0,50,53,"standard"
0,0,56,56,"standard"
0,0,179,174,"standard"
0,0,292,216,"standard"
0,0,10,3,"standard"
0,0,83,64,"standard"
0,0,101,826,"standard"
0,0,6,13,"standard"
0,0,16,31,"standard"
0,0,117,2,"standard"
364,0,1000,811,"standard"
0,0,5,4,"standard"
0,0,250,250,"standard"
0,0,19,20,"standard"
0,0,94,100,"standard"
0,0,11,14,"standard"
0,0,13,8,"standard"
0,0,17,27,"standard"
0,0,274,5,"standard"
0,0,6,7,"standard"
0,0,9,4,"standard"
0,0,8,8,"standard"
0,0,14,13,"standard"
0,0,185,185,"standard"
0,0,8,14,"standard"
0,0,4,5,"standard"
0,0,3,601,"standard"
0,0,38,3,"standard"
0,0,2,44,"standard"
0,0,669,663,"standard"
0,0,31,41,"standard"
0,0,5,4,"standard"
0,0,9,13,"standard"
0,0,977,922,"standard"
0,0,413,403,"standard"
0,0,587,592,"standard"
0,0,6,9,"standard"
124,159,1000,1000,"standard"
0,0,2,19,"standard"
0,0,18,10,"standard"
0,0,381,52,"standard"
597,532,1000,1000,"standard"
439,104,1000,1000,"standard"
0,0,637,635,"standard"
0,0,216,213,"standard"
0,0,5,4,"standard"
0,0,955,920,"standard"
0,0,34,2,"standard"
75,64,1000,1000,"standard"
0,0,12,8,"standard"
0,0,340,345,"standard"
0,0,14,15,"standard"
0,0,24,20,"standard"
0,0,2,39,"standard"
0,0,15,17,"standard"
0,0,102,107,"standard"
0,0,2,17,"standard"
