"st1","st2","t_fin1","t_fin2","condition"
0,0,10,7,"standard"
0,0,836,839,"standard"
0,0,27,41,"standard"
0,0,40,24,"standard"
0,0,4,9,"standard"
0,0,4,2,"standard"
0,0,10,10,"standard"
0,0,66,66,"standard"
0,0,35,43,"standard"
0,0,294,259,"standard"
0,0,9,17,"standard"
0,0,444,6,"standard"
0,0,12,6,"standard"
0,0,30,34,"standard"
0,0,7,39,"standard"
0,0,143,122,"standard"
0,0,194,22,"standard"
0,0,21,21,"standard"
0,0,3,496,"standard"
0,0,5,2,"standard"
0,0,5,9,"standard"
0,0,267,266,"standard"
0,0,6,9,"standard"
0,0,13,4,"standard"
0,0,54,57,"standard"
240,339,1000,1000,"standard"
0,0,13,13,"standard"
0,0,12,3,"standard"
0,0,3,3,"standard"
0,0,21,2,"standard"
0,0,718,975,"standard"
0,0,145,146,"standard"
0,0,5,4,"standard"
0,0,125,24,"standard"
0,0,40,40,"standard"
0,0,2,9,"standard"
0,0,3,2,"standard"
0,0,75,82,"standard"
0,0,11,4,"standard"
0,0,22,12,"standard"
0,0,34,33,"standard"
0,0,301,303,"standard"
0,0,2,3,"standard"
0,0,50,55,"standard"
0,0,33,34,"standard"
0,0,186,179,"standard"
0,0,4,3,"standard"
0,0,13,5,"standard"
0,0,3,3,"standard"
0,0,2,432,"standard"
0,0,203,199,"standard"
0,0,19,16,"standard"
0,0,3,9,"standard"
0,0,61,61,"standard"
0,0,49,52,"standard"
0,0,317,941,"standard"
0,0,279,112,"standard"
0,0,66,61,"standard"
0,0,291,283,"standard"
0,0,157,6,"standard"
0,0,15,17,"standard"
0,0,14,11,"standard"
0,0,15,10,"standard"
0,0,9,12,"standard"
0,0,50,51,"standard"
0,0,33,52,"standard"
0,0,63,97,"standard"
0,0,776,803,"standard"
0,0,138,156,"standard"
0,0,8,7,"standard"
0,0,3,9,"standard"
0,0,430,427,"standard"
163,0,1000,881,"standard"
0,0,23,13,"standard"
0,0,6,37,"standard"
0,0,25,26,"standard"
0,0,2,60,"standard"
0,0,34,334,"standard"
0,0,425,422,"standard"
0,0,16,17,"standard"
0,0,98,97,"standard"
0,0,15,10,"standard"
0,0,72,71,"standard"
0,0,9,8,"standard"
0,0,26,32,"standard"
0,0,71,18,"standard"
0,0,224,224,"standard"
0,0,888,877,"standard"
0,0,71,62,"standard"
0,0,8,9,"standard"
537,381,1000,1000,"standard"
0,0,208,250,"standard"
0,0,15,65,"standard"
0,0,718,15,"standard"
0,0,15,6,"standard"
0,0,14,14,"standard"
0,0,218,28,"standard"
0,0,10,2,"standard"
0,0,315,255,"standard"
549,214,1000,1000,"standard"
0,0,3,2,"standard"
0,0,7,16,"standard"
0,0,8,2,"standard"
0,0,2,14,"standard"
0,0,23,17,"standard"
0,0,70,17,"standard"
0,0,216,13,"standard"
0,0,5,11,"standard"
0,0,143,147,"standard"
0,0,28,16,"standard"
0,0,11,12,"standard"
0,0,11,7,"standard"
0,0,118,122,"standard"
0,0,8,8,"standard"
0,0,43,52,"standard"
134,0,1000,910,"standard"
0,0,238,16,"standard"
0,0,143,11,"standard"
0,0,6,15,"standard"
0,0,39,13,"standard"
0,0,2,8,"standard"
0,0,4,44,"standard"
0,0,37,43,"standard"
0,0,13,13,"standard"
0,0,8,6,"standard"
0,0,92,112,"standard"
0,0,151,160,"standard"
0,0,8,8,"standard"
0,0,3,15,"standard"
0,0,15,2,"standard"
0,0,6,24,"standard"
0,0,8,8,"standard"
0,0,392,393,"standard"
0,0,86,93,"standard"
0,0,50,50,"standard"
0,0,105,87,"standard"
0,0,28,29,"standard"
0,0,6,450,"standard"
0,0,19,6,"standard"
0,0,4,2,"standard"
0,0,7,7,"standard"
0,0,515,522,"standard"
0,0,74,300,"standard"
0,0,74,68,"standard"
0,0,52,54,"standard"
0,0,3,18,"standard"
0,0,2,4,"standard"
0,0,33,3,"standard"
0,0,13,16,"standard"
0,0,26,17,"standard"
0,0,93,244,"standard"
0,0,26,16,"standard"
0,0,548,15,"standard"
0,0,16,33,"standard"
0,0,75,26,"standard"
0,0,759,764,"standard"
0,0,83,9,"standard"
0,0,140,138,"standard"
0,0,2,4,"standard"
0,0,11,61,"standard"
0,0,49,45,"standard"
0,0,3,20,"standard"
0,0,136,78,"standard"
0,0,342,4,"standard"
0,0,86,146,"standard"
0,0,66,62,"standard"
0,0,27,114,"standard"
0,0,21,19,"standard"
0,0,15,21,"standard"
0,0,14,11,"standard"
0,0,57,233,"standard"
0,0,5,42,"standard"
0,0,6,3,"standard"
0,0,203,284,"standard"
0,0,172,173,"standard"
0,0,36,9,"standard"
0,0,85,57,"standard"
0,0,6,5,"standard"
