"st1","st2","st3","t_fin1","t_fin2","t_fin3","condition"
0,0,0,31,6,8,"standard"
0,0,0,706,295,704,"standard"
0,0,0,261,58,70,"standard"
0,0,0,35,16,31,"standard"
0,0,0,45,729,16,"standard"
0,0,0,49,47,6,"standard"
0,0,0,718,62,710,"standard"
0,0,0,591,589,199,"standard"
0,0,0,871,130,874,"standard"
0,0,0,517,7,529,"standard"
0,0,0,526,520,147,"standard"
0,0,0,68,63,2,"standard"
287,0,466,1000,889,1000,"standard"
0,0,0,13,26,10,"standard"
0,0,0,236,720,719,"standard"
0,0,0,565,564,153,"standard"
0,0,0,36,12,4,"standard"
0,0,0,8,6,7,"standard"
0,0,0,175,618,648,"standard"
0,0,0,11,37,11,"standard"
0,0,0,777,773,283,"standard"
0,0,0,9,16,30,"standard"
0,0,0,45,42,7,"standard"
0,0,0,363,359,353,"standard"
0,0,0,13,2,14,"standard"
0,0,0,446,676,672,"standard"
0,0,0,51,52,52,"standard"
0,0,0,296,22,298,"standard"
0,0,0,38,35,43,"standard"
0,0,0,341,343,105,"standard"
0,0,0,5,2,6,"standard"
0,0,0,3,9,7,"standard"
0,0,0,8,8,3,"standard"
0,0,0,3,86,84,"standard"
0,0,0,12,6,4,"standard"
0,0,0,25,21,24,"standard"
0,0,0,50,62,58,"standard"
0,0,0,289,9,4,"standard"
132,0,284,1000,131,1000,"standard"
0,0,0,8,24,24,"standard"
0,0,0,87,65,22,"standard"
0,0,0,72,70,52,"standard"
0,0,0,95,12,55,"standard"
0,0,0,20,4,8,"standard"
0,0,0,45,66,73,"standard"
0,0,0,103,59,111,"standard"
0,0,0,310,314,113,"standard"
0,0,0,10,8,70,"standard"
0,0,0,120,53,121,"standard"
0,0,0,11,18,22,"standard"
0,0,0,279,30,299,"standard"
0,0,0,8,13,559,"standard"
0,0,0,53,76,52,"standard"
0,0,0,29,14,25,"standard"
0,0,0,13,13,5,"standard"
432,0,0,1000,12,15,"standard"
0,0,0,22,295,247,"standard"
0,0,0,337,24,336,"standard"
0,0,0,44,43,39,"standard"
0,0,0,2,3,4,"standard"
0,0,0,3,11,5,"standard"
0,0,0,386,19,396,"standard"
0,0,0,32,35,51,"standard"
0,0,0,38,38,12,"standard"
0,0,0,29,27,29,"standard"
147,273,67,1000,1000,1000,"standard"
0,0,0,2,62,3,"standard"
0,0,0,260,140,256,"standard"
0,0,0,817,624,820,"standard"
0,0,0,4,2,9,"standard"
0,0,0,16,13,15,"standard"
0,0,0,345,345,740,"standard"
0,0,0,818,820,266,"standard"
0,0,0,2,3,17,"standard"
0,0,0,48,563,562,"standard"
0,0,0,72,68,7,"standard"
0,0,0,60,58,59,"standard"
0,0,0,3,492,508,"standard"
0,0,0,543,544,542,"standard"
0,0,0,3,8,311,"standard"
0,0,0,75,16,81,"standard"
0,0,0,130,92,91,"standard"
0,0,0,428,247,435,"standard"
0,0,0,70,33,32,"standard"
0,0,0,649,733,737,"standard"
0,0,0,201,80,182,"standard"
0,0,0,876,879,5,"standard"
0,0,0,345,359,343,"standard"
0,0,0,895,12,876,"standard"
0,0,0,149,10,146,"standard"
0,0,0,77,77,25,"standard"
0,0,0,4,10,10,"standard"
0,0,0,10,25,21,"standard"
0,0,0,12,76,76,"standard"
0,0,0,16,682,642,"standard"
0,0,0,13,11,12,"standard"
0,0,0,7,83,6,"standard"
0,0,0,5,6,4,"standard"
0,0,0,6,63,63,"standard"
0,0,0,841,756,55,"standard"
0,0,0,8,4,449,"standard"
0,0,0,470,444,14,"standard"
0,0,0,2,3,25,"standard"
0,0,0,18,22,6,"standard"
0,0,0,289,311,206,"standard"
0,0,0,31,26,29,"standard"
0,0,0,657,655,564,"standard"
0,0,0,2,2,7,"standard"
0,0,0,61,20,60,"standard"
0,0,0,5,7,48,"standard"
0,0,0,459,461,62,"standard"
0,0,0,19,14,43,"standard"
0,0,0,141,55,25,"standard"
0,0,0,190,802,799,"standard"
0,0,0,48,51,42,"standard"
0,0,0,11,22,12,"standard"
0,0,0,13,2,4,"standard"
0,0,0,6,14,7,"standard"
0,116,120,382,1000,1000,"standard"
0,0,0,12,69,58,"standard"
0,0,0,48,52,35,"standard"
0,0,0,16,6,5,"standard"
0,0,0,26,7,27,"standard"
0,0,0,42,33,44,"standard"
0,0,0,105,77,5,"standard"
0,0,0,69,4,154,"standard"
0,0,0,73,74,12,"standard"
0,0,0,2,5,9,"standard"
0,0,0,11,5,6,"standard"
0,446,355,33,1000,1000,"standard"
0,0,0,8,20,5,"standard"
0,451,600,189,1000,1000,"standard"
0,0,0,25,4,3,"standard"
0,0,0,607,313,545,"standard"
0,0,0,18,12,11,"standard"
0,0,0,3,184,181,"standard"
0,0,0,47,13,6,"standard"
0,0,0,3,738,2,"standard"
0,0,0,57,13,25,"standard"
0,0,0,8,28,24,"standard"
0,0,0,45,45,6,"standard"
0,0,0,442,676,675,"standard"
0,0,0,18,13,11,"standard"
0,0,0,2,16,387,"standard"
0,0,0,88,6,87,"standard"
0,0,0,135,136,5,"standard"
0,0,0,2,5,3,"standard"
0,0,0,39,43,2,"standard"
0,0,0,41,40,57,"standard"
0,0,0,258,15,20,"standard"
0,0,0,447,461,31,"standard"
0,0,0,34,28,37,"standard"
0,0,0,74,9,89,"standard"
0,0,0,25,27,4,"standard"
0,0,0,18,35,11,"standard"
0,0,0,68,58,5,"standard"
0,0,0,7,47,139,"standard"
0,0,0,20,31,24,"standard"
0,0,0,9,13,23,"standard"
0,0,0,12,7,14,"standard"
0,0,0,6,16,6,"standard"
91,77,337,1000,1000,1000,"standard"
155,75,0,1000,1000,339,"standard"
0,0,0,3,125,4,"standard"
600,0,79,1000,6,1000,"standard"
0,0,0,49,110,116,"standard"
0,0,0,5,14,33,"standard"
0,0,0,17,20,11,"standard"
0,0,0,17,7,7,"standard"
0,0,0,14,56,45,"standard"
0,0,0,3,3,4,"standard"
0,0,0,72,229,233,"standard"
0,0,0,3,21,19,"standard"
0,0,0,618,6,623,"standard"
0,0,0,68,34,61,"standard"
0,0,0,6,43,30,"standard"
0,0,0,9,5,5,"standard"
0,0,0,2,20,14,"standard"
0,0,0,19,8,8,"standard"
0,0,0,143,19,141,"standard"
0,0,0,11,39,28,"standard"
0,0,0,28,36,25,"standard"
0,0,0,24,25,16,"standard"
96,96,81,1000,1000,1000,"standard"
0,0,0,190,55,194,"standard"
0,0,0,46,36,4,"standard"
0,0,0,22,4,19,"standard"
0,0,0,879,853,853,"standard"
0,0,0,25,13,7,"standard"
0,0,0,14,23,14,"standard"
0,0,0,34,68,3,"standard"
0,0,0,15,2,14,"standard"
0,0,0,187,19,445,"standard"
0,0,0,4,6,5,"standard"
0,0,0,201,195,7,"standard"
0,0,0,946,708,108,"standard"
0,0,0,7,7,32,"standard"
0,0,0,40,42,35,"standard"
0,0,0,5,8,2,"standard"
0,0,0,2,3,8,"standard"
0,0,0,2,25,4,"standard"
0,0,0,22,32,12,"standard"
0,0,0,8,6,79,"standard"
0,0,0,580,582,66,"standard"
0,0,0,54,118,13,"standard"
0,0,0,449,13,10,"standard"
0,0,0,54,43,27,"standard"
0,0,0,4,3,4,"standard"
0,0,0,317,6,89,"standard"
0,0,0,8,11,5,"standard"
0,0,0,12,24,6,"standard"
0,0,0,25,53,44,"standard"
354,0,448,1000,335,1000,"standard"
0,0,0,173,11,188,"standard"
0,0,0,34,39,41,"standard"
0,0,0,45,17,173,"standard"
0,0,0,10,5,7,"standard"
600,67,0,1000,1000,272,"standard"
0,0,0,71,282,286,"standard"
0,0,0,237,217,128,"standard"
0,0,0,20,603,639,"standard"
0,0,0,23,76,94,"standard"
0,0,0,30,22,21,"standard"
0,0,0,14,8,2,"standard"
0,0,0,33,24,33,"standard"
0,0,0,618,615,489,"standard"
0,0,0,14,14,145,"standard"
0,0,0,23,20,21,"standard"
0,0,0,16,94,116,"standard"
0,0,0,742,744,82,"standard"
0,0,0,74,76,18,"standard"
0,0,0,223,508,517,"standard"
0,0,0,187,204,71,"standard"
0,0,0,8,19,14,"standard"
0,0,0,29,123,52,"standard"
0,0,0,6,2,2,"standard"
98,279,0,1000,1000,751,"standard"
271,600,0,1000,1000,25,"standard"
0,0,0,132,133,147,"standard"
0,0,0,12,3,301,"standard"
0,0,0,14,5,567,"standard"
0,0,0,18,15,556,"standard"
0,0,0,10,8,18,"standard"
0,0,0,817,512,642,"standard"
0,0,0,6,3,2,"standard"
0,0,0,15,2,22,"standard"
0,0,0,275,270,289,"standard"
0,0,0,28,26,2,"standard"
0,0,0,3,8,3,"standard"
0,0,0,964,968,20,"standard"
0,0,0,22,20,22,"standard"
154,217,0,1000,1000,2,"standard"
0,0,0,4,4,8,"standard"
0,0,0,16,8,22,"standard"
0,0,0,86,136,120,"standard"
0,0,0,10,563,116,"standard"
0,0,0,11,17,132,"standard"
600,453,0,1000,1000,151,"standard"
0,0,0,26,196,203,"standard"
0,0,0,36,58,43,"standard"
0,0,0,81,9,64,"standard"
0,0,0,692,4,696,"standard"
0,0,0,12,15,13,"standard"
0,0,0,2,4,2,"standard"
0,0,0,4,9,6,"standard"
0,0,0,56,42,54,"standard"
0,0,0,4,123,3,"standard"
442,126,0,1000,1000,13,"standard"
0,0,0,3,15,4,"standard"
0,0,0,3,25,6,"standard"
0,0,0,6,2,6,"standard"
0,0,0,11,9,5,"standard"
241,225,116,1000,1000,1000,"standard"
0,0,0,560,675,30,"standard"
0,0,0,61,8,91,"standard"
0,0,0,287,491,802,"standard"
0,0,0,12,13,17,"standard"
0,0,0,308,10,200,"standard"
0,0,0,18,14,18,"standard"
0,0,0,356,2,339,"standard"
0,0,0,110,125,127,"standard"
0,0,0,17,24,17,"standard"
0,0,0,379,376,10,"standard"
0,0,0,97,64,97,"standard"
0,0,0,2,34,63,"standard"
0,0,0,4,63,9,"standard"
0,0,0,4,29,4,"standard"
0,0,0,7,21,7,"standard"
0,0,0,13,14,708,"standard"
0,0,0,11,19,12,"standard"
0,0,0,17,8,5,"standard"
142,600,529,1000,1000,1000,"standard"
335,0,277,1000,141,1000,"standard"
0,0,0,22,22,17,"standard"
0,0,0,18,4,21,"standard"
0,0,0,3,638,621,"standard"
0,0,0,163,147,163,"standard"
73,0,246,1000,991,1000,"standard"
0,0,0,22,39,27,"standard"
0,0,0,4,3,3,"standard"
0,0,0,20,27,30,"standard"
0,0,0,9,2,9,"standard"
0,0,0,90,67,83,"standard"
0,0,0,8,24,26,"standard"
0,0,0,216,186,2,"standard"
0,0,0,421,421,383,"standard"
0,0,0,8,7,8,"standard"
0,0,0,12,12,11,"standard"
0,0,0,27,34,4,"standard"
0,0,0,29,29,8,"standard"
0,0,0,859,853,7,"standard"
0,0,0,7,6,2,"standard"
0,0,0,128,16,137,"standard"
0,0,0,68,10,10,"standard"
0,0,0,83,77,19,"standard"
0,0,0,58,141,137,"standard"
0,0,0,3,5,118,"standard"
0,0,0,19,9,7,"standard"
0,0,0,16,237,228,"standard"
0,0,0,12,10,13,"standard"
0,0,0,6,9,7,"standard"
0,0,0,151,113,150,"standard"
0,0,0,159,8,162,"standard"
0,68,472,139,1000,1000,"standard"
0,0,0,5,140,81,"standard"
600,600,0,1000,1000,301,"standard"
0,0,0,10,6,101,"standard"
0,0,0,311,39,316,"standard"
0,0,0,29,26,33,"standard"
0,0,0,161,73,152,"standard"
0,0,0,31,31,49,"standard"
0,0,0,41,20,45,"standard"
0,0,0,6,8,3,"standard"
0,0,0,17,15,16,"standard"
0,0,0,2,16,26,"standard"
0,0,0,27,24,149,"standard"
0,0,0,34,73,71,"standard"
0,0,0,32,4,155,"standard"
0,0,0,65,24,24,"standard"
0,0,0,3,21,2,"standard"
0,0,0,13,6,27,"standard"
0,0,0,49,8,36,"standard"
0,0,0,154,33,13,"standard"
0,0,0,197,2,201,"standard"
0,0,0,223,322,319,"standard"
0,0,0,4,17,3,"standard"
0,0,0,209,3,4,"standard"
0,0,0,4,13,3,"standard"
0,0,0,3,2,3,"standard"
0,0,0,10,3,2,"standard"
0,0,0,8,51,16,"standard"
0,0,0,24,25,43,"standard"
0,0,0,49,52,48,"standard"
0,0,0,50,33,50,"standard"
0,0,0,52,87,79,"standard"
0,0,0,13,4,4,"standard"
0,0,0,18,9,4,"standard"
0,0,0,806,4,803,"standard"
0,0,0,24,2,13,"standard"
0,0,0,4,4,3,"standard"
0,145,80,401,1000,1000,"standard"
0,0,0,44,37,35,"standard"
0,0,0,501,68,496,"standard"
0,0,0,36,40,46,"standard"
0,0,0,468,39,304,"standard"
0,0,0,6,19,17,"standard"
0,0,0,3,15,26,"standard"
0,0,0,91,94,19,"standard"
0,0,0,141,160,165,"standard"
0,0,0,2,2,17,"standard"
0,0,0,6,812,828,"standard"
133,0,295,1000,52,1000,"standard"
0,0,0,15,12,187,"standard"
67,0,244,1000,23,1000,"standard"
0,0,0,51,47,47,"standard"
0,0,0,28,4,3,"standard"
0,0,0,29,11,29,"standard"
0,0,0,73,70,13,"standard"
469,0,468,1000,100,1000,"standard"
0,0,0,4,6,4,"standard"
0,0,0,222,10,221,"standard"
0,0,0,15,12,6,"standard"
120,358,434,1000,1000,1000,"standard"
0,0,0,2,676,7,"standard"
0,0,0,7,7,8,"standard"
0,0,0,22,19,11,"standard"
0,0,0,18,8,24,"standard"
0,0,0,200,24,232,"standard"
0,0,0,17,2,5,"standard"
0,0,0,982,980,573,"standard"
0,0,0,244,273,258,"standard"
0,0,0,4,7,8,"standard"
0,0,0,12,23,98,"standard"
0,0,0,28,9,12,"standard"
0,0,0,19,81,81,"standard"
0,0,0,618,719,710,"standard"
0,0,0,3,49,2,"standard"
0,0,0,5,6,12,"standard"
0,0,0,5,5,4,"standard"
0,0,0,6,5,23,"standard"
0,0,0,4,4,4,"standard"
0,0,0,198,197,149,"standard"
0,0,0,5,2,11,"standard"
0,0,0,3,217,3,"standard"
0,0,0,26,4,24,"standard"
0,0,0,36,2,27,"standard"
0,0,0,7,4,16,"standard"
0,0,0,44,44,42,"standard"
0,0,0,12,20,5,"standard"
0,0,0,7,92,93,"standard"
0,0,0,5,4,2,"standard"
0,0,0,9,16,12,"standard"
0,0,0,10,11,7,"standard"
0,0,0,5,4,6,"standard"
0,0,0,2,770,667,"standard"
0,0,0,37,18,27,"standard"
0,0,0,23,7,2,"standard"
0,0,0,142,141,178,"standard"
0,381,0,139,1000,761,"standard"
0,0,0,12,7,7,"standard"
0,0,0,36,49,3,"standard"
0,0,0,7,6,13,"standard"
0,0,0,135,160,45,"standard"
0,0,0,38,751,703,"standard"
0,0,0,16,11,374,"standard"
0,0,0,43,45,2,"standard"
0,0,0,77,68,2,"standard"
0,0,0,33,40,21,"standard"
0,0,0,3,10,10,"standard"
0,0,0,536,537,269,"standard"
0,0,0,308,25,321,"standard"
0,0,0,11,3,10,"standard"
0,0,0,2,681,36,"standard"
0,0,0,333,56,457,"standard"
79,421,89,1000,1000,1000,"standard"
0,0,0,8,387,386,"standard"
0,0,0,141,142,145,"standard"
0,0,0,26,73,7,"standard"
0,0,0,505,401,505,"standard"
0,0,0,218,171,134,"standard"
0,0,0,17,16,2,"standard"
0,0,0,14,6,11,"standard"
0,0,0,27,4,3,"standard"
0,0,0,36,6,35,"standard"
0,0,0,5,12,60,"standard"
0,0,0,5,8,3,"standard"
148,191,0,1000,1000,9,"standard"
0,0,0,52,41,8,"standard"
0,0,0,22,86,96,"standard"
0,0,0,2,20,5,"standard"
